Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Derek Jeter,NYY,49,157,663,111,179,30,3,10,67,18,5,63,106,1,3,9,.270,.340,.370,.710
Elvis Andrus,TEX,35,148,588,88,156,15,3,0,35,32,15,64,96,17,0,5,.265,.342,.301,.643
Alexei Ramirez,CWS,42,156,585,83,165,29,2,18,70,13,8,27,82,7,5,2,.282,.313,.431,.744
Stephen Drew,ARI,40,151,565,83,157,33,12,15,61,10,5,62,108,2,1,3,.278,.352,.458,.810
Jose Reyes,NYM,40,133,563,83,159,29,10,11,54,30,10,31,63,4,3,2,.282,.321,.428,.749
Erick Aybar,LAA,39,138,534,69,135,18,4,5,29,22,8,35,81,11,2,7,.253,.306,.330,.636
Alcides Escobar,MIL,36,145,506,57,119,14,10,4,41,10,4,36,70,4,3,3,.235,.288,.326,.614
Orlando Cabrera,CIN,48,123,494,64,130,33,0,4,42,11,4,28,53,5,7,3,.263,.303,.354,.657
Cesar Izturis,BAL,43,150,473,42,109,13,1,1,28,11,5,25,53,7,2,6,.230,.277,.268,.545
Troy Tulowitzki,COL,38,122,470,89,148,32,3,27,95,11,2,48,78,1,5,5,.315,.381,.568,.949
Ronny Cedeno,PIT,40,139,468,42,120,29,3,8,38,12,3,23,106,7,2,2,.256,.293,.382,.675
Jason Bartlett,TB,43,135,468,71,119,27,3,4,47,11,6,45,83,11,3,5,.254,.324,.350,.674
Mike Aviles,KC,42,110,424,63,129,16,3,8,32,14,5,20,49,0,3,1,.304,.335,.413,.748
Miguel Tejada,BAL,49,97,401,40,108,16,0,7,39,0,0,15,39,0,3,9,.269,.308,.362,.670
Clint Barmes,COL,44,133,387,43,91,21,0,8,50,3,2,35,66,2,3,5,.235,.305,.351,.656
Jamey Carroll,LAD,49,133,351,48,102,15,1,0,23,12,4,51,64,5,5,2,.291,.379,.339,.718
Jimmy Rollins,PHI,44,88,350,48,85,16,3,8,41,17,1,40,32,0,3,1,.243,.320,.374,.694
Bill Hall,BOS,43,120,344,44,85,16,1,18,46,9,1,34,104,2,1,1,.247,.316,.456,.772
J.J. Hardy,MIN,41,101,340,44,91,19,3,6,38,1,1,28,54,3,4,0,.268,.320,.394,.714
Wilson Valdez,PHI,45,111,333,37,86,16,3,4,35,7,0,21,43,7,0,2,.258,.306,.360,.666
Alex Gonzalez,TOR,46,85,328,47,85,25,1,17,50,1,0,17,65,0,2,1,.259,.296,.497,.793
Ramon Santiago,DET,44,112,320,38,84,9,1,3,22,2,2,30,56,8,2,7,.263,.337,.325,.662
Cristian Guzman,WAS,45,89,319,44,90,11,4,2,25,4,2,17,53,3,2,5,.282,.327,.361,.688
Jason Donald,CLE,39,88,296,39,75,19,3,4,24,5,1,22,70,4,0,3,.253,.312,.378,.690
Alex Gonzalez,ATL,46,72,267,27,64,17,2,6,38,0,2,14,53,3,2,6,.240,.291,.386,.677
Tommy Manzella,HOU,40,83,258,17,58,7,0,1,21,0,1,13,71,5,3,3,.225,.267,.264,.531
Angel Sanchez,HOU,40,65,250,30,70,9,4,0,25,0,1,11,45,6,0,2,.280,.316,.348,.664
Edgar Renteria,SF,48,72,243,26,67,11,2,3,22,3,0,21,43,2,1,0,.276,.332,.374,.706
Julio Lugo,BAL,47,93,241,26,60,4,2,0,20,5,7,15,50,6,0,2,.249,.298,.282,.580
Miguel Tejada,SD,49,59,235,31,63,10,0,8,32,2,0,15,28,1,0,2,.268,.317,.413,.730
Ruben Tejada,NYM,34,78,216,28,46,12,0,1,15,2,2,22,38,6,3,8,.213,.305,.282,.587
Everth Cabrera,SD,36,76,212,22,44,6,3,1,22,10,6,19,54,8,0,2,.208,.279,.278,.557
Craig Counsell,MIL,53,102,204,16,51,8,0,2,21,1,1,21,29,3,1,1,.250,.322,.319,.641
Paul Janish,CIN,40,82,200,23,52,10,0,5,25,1,3,22,30,3,1,2,.260,.338,.385,.723
Jack Wilson,SEA,45,61,193,17,48,11,1,0,14,1,2,7,35,5,3,3,.249,.282,.316,.598
Alberto Gonzalez,WAS,40,114,186,19,46,8,1,0,5,0,0,7,30,3,1,1,.247,.277,.301,.578
Alex Cora,NYM,47,62,169,14,35,6,3,0,20,4,1,10,16,2,2,4,.207,.265,.278,.543
Juan Castro,PHI,51,54,126,7,25,5,0,0,13,0,1,7,23,1,2,0,.198,.237,.238,.475
Brendan Harris,MIN,43,43,108,11,17,3,0,1,4,0,0,9,23,0,1,2,.157,.233,.213,.446
Tyler Greene,STL,40,44,104,14,23,3,1,2,10,2,0,13,24,0,1,4,.221,.328,.327,.655
Joaquin Arias,TEX,39,50,98,18,27,5,1,0,9,1,0,2,17,1,0,0,.276,.290,.347,.637
Mike McCoy,TOR,42,46,82,9,16,4,0,0,3,5,1,8,20,0,0,0,.195,.267,.244,.511
Adam Everett,DET,46,31,81,6,15,5,0,0,4,2,1,4,18,3,1,0,.185,.221,.247,.468
Cristian Guzman,TEX,45,15,46,4,7,1,0,0,1,0,0,3,10,1,0,0,.152,.204,.174,.378
Luis Hernandez,NYM,39,17,44,4,11,1,0,2,6,1,0,2,7,0,0,1,.250,.298,.409,.707
Ozzie Martinez,FLA,35,14,43,8,14,4,1,0,2,1,0,4,6,1,0,0,.326,.383,.465,.848
Cody Ransom,PHI,47,22,42,6,8,0,0,2,5,1,0,3,11,1,0,0,.190,.244,.333,.577
Yamaico Navarro,BOS,35,20,42,4,6,0,0,0,5,0,0,2,17,0,2,0,.143,.174,.143,.317
Lance Zawadzki,SD,38,20,35,4,7,2,0,0,1,1,0,5,7,2,0,0,.200,.300,.257,.557
Argenis Diaz,PIT,36,22,33,0,8,1,0,0,2,0,1,3,10,0,0,0,.242,.306,.273,.579
Joaquin Arias,NYM,39,22,30,5,6,1,0,0,4,0,0,2,6,1,0,0,.200,.250,.233,.483
Chin-Lung Hu,LAD,39,14,23,2,3,1,0,0,1,1,0,0,5,0,1,1,.130,.160,.174,.334
Oswaldo Navarro,HOU,38,14,20,2,1,0,0,0,0,0,0,5,4,0,0,0,.050,.240,.050,.290
Andrew Romine,LAA,37,5,11,0,1,0,0,0,0,0,0,0,4,1,0,0,.091,.091,.091,.182
Diory Hernandez,ATL,39,20,9,5,1,0,0,1,1,0,0,0,4,1,0,0,.111,.111,.444,.555
Alex Cora,TEX,47,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.286,.572
Brian Bocock,PHI,38,6,5,2,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Brandon Hicks,ATL,38,16,5,7,0,0,0,0,0,0,0,1,2,0,0,0,.000,.167,.000,.167
Juan Castro,LAD,51,1,3,0,0,0,0,0,0,0,0,1,2,0,0,0,.000,.250,.000,.250
Angel Sanchez,BOS,40,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000